sample	group	r1	r2
Pcalifornicus-5F	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C11_IS_5F_S554_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C11_IS_5F_S554_L004_R2_001.fastq.gz
Pcalifornicus-1M	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C12_IS_1M_S562_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C12_IS_1M_S562_L004_R2_001.fastq.gz
Pcalifornicus-2M	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D01_IS_2M_S475_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D01_IS_2M_S475_L004_R2_001.fastq.gz
Pcalifornicus-3M	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D02_IS_3M_S483_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D02_IS_3M_S483_L004_R2_001.fastq.gz
Pcalifornicus-4M	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D03_IS_4M_S491_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D03_IS_4M_S491_L004_R2_001.fastq.gz
Pcalifornicus-5M	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D04_IS_5M_S499_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D04_IS_5M_S499_L004_R2_001.fastq.gz
Ppolionotus-1F	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D05_PO_1F_S507_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D05_PO_1F_S507_L004_R2_001.fastq.gz
Ppolionotus-2F	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D06_PO_2F_S515_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D06_PO_2F_S515_L004_R2_001.fastq.gz
Ppolionotus-3F	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D07_PO_3F_S523_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D07_PO_3F_S523_L004_R2_001.fastq.gz
Ppolionotus-4F	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D08_PO_4F_S531_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D08_PO_4F_S531_L004_R2_001.fastq.gz
Ppolionotus-5F	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D09_PO_5F_S539_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D09_PO_5F_S539_L004_R2_001.fastq.gz
Ppolionotus-1M	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D10_PO_1M_S547_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D10_PO_1M_S547_L004_R2_001.fastq.gz
Ppolionotus-2M	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D11_PO_2M_S555_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D11_PO_2M_S555_L004_R2_001.fastq.gz
Ppolionotus-3M	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D12_PO_3M_S563_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/D12_PO_3M_S563_L004_R2_001.fastq.gz
Ppolionotus-4M	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E01_PO_4M_S476_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E01_PO_4M_S476_L004_R2_001.fastq.gz
Ppolionotus-5M	polionotus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E02_PO_5M_S484_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E02_PO_5M_S484_L004_R2_001.fastq.gz
Pmaniculatus-1F	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E03_BW_1F_S492_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E03_BW_1F_S492_L004_R2_001.fastq.gz
Pmaniculatus-2F	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E04_BW_2F_S500_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E04_BW_2F_S500_L004_R2_001.fastq.gz
Pmaniculatus-4F	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E06_BW_4F_S516_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E06_BW_4F_S516_L004_R2_001.fastq.gz
Pmaniculatus-5F	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E07_BW_5F_S524_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E07_BW_5F_S524_L004_R2_001.fastq.gz
Pmaniculatus-1M	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E08_BW_1M_S532_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E08_BW_1M_S532_L004_R2_001.fastq.gz
Pmaniculatus-2M	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E09_BW_2M_S540_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E09_BW_2M_S540_L004_R2_001.fastq.gz
Pmaniculatus-3M	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E10_BW_3M_S548_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E10_BW_3M_S548_L004_R2_001.fastq.gz
Pmaniculatus-4M	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E11_BW_4M_S556_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E11_BW_4M_S556_L004_R2_001.fastq.gz
Pmaniculatus-5M	maniculatus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E12_BW_5M_S564_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/E12_BW_5M_S564_L004_R2_001.fastq.gz
